"","Year","Team","ThreeOrTwo","FGA"
"294",2005,"Detroit Pistons","THREEPA",12.8
"295",2005,"Indiana Pacers","THREEPA",19.2
"296",2005,"Utah Jazz","THREEPA",9.3
"297",2005,"Portland Trail Blazers","THREEPA",14.2
"298",2005,"Atlanta Hawks","THREEPA",11.9
"299",2005,"New Jersey Nets","THREEPA",14.7
"300",2005,"New Orleans Hornets","THREEPA",16
"301",2005,"League Average","THREEPA",15.8
"302",2006,"Phoenix Suns","THREEPA",25.6
"303",2006,"Seattle SuperSonics","THREEPA",19.9
"304",2006,"Washington Wizards","THREEPA",17
"305",2006,"Toronto Raptors","THREEPA",19.8
"306",2006,"Denver Nuggets","THREEPA",13.1
"307",2006,"Miami Heat","THREEPA",17.6
"308",2006,"Los Angeles Lakers","THREEPA",19.3
"309",2006,"Philadelphia 76ers","THREEPA",12.6
"310",2006,"Dallas Mavericks","THREEPA",13.6
"311",2006,"Sacramento Kings","THREEPA",17.2
"312",2006,"Golden State Warriors","THREEPA",22.3
"313",2006,"Boston Celtics","THREEPA",15.7
"314",2006,"Milwaukee Bucks","THREEPA",16.3
"315",2006,"Chicago Bulls","THREEPA",18
"316",2006,"Cleveland Cavaliers","THREEPA",17.9
"317",2006,"Atlanta Hawks","THREEPA",14.1
"318",2006,"Los Angeles Clippers","THREEPA",10.3
"319",2006,"Charlotte Bobcats","THREEPA",15.4
"320",2006,"Detroit Pistons","THREEPA",17.7
"321",2006,"New York Knicks","THREEPA",10.8
"322",2006,"San Antonio Spurs","THREEPA",16.6
"323",2006,"Orlando Magic","THREEPA",9.7
"324",2006,"Indiana Pacers","THREEPA",18.7
"325",2006,"New Jersey Nets","THREEPA",17.6
"326",2006,"New Orleans/Oklahoma City Hornets","THREEPA",10.8
"327",2006,"Utah Jazz","THREEPA",11.3
"328",2006,"Memphis Grizzlies","THREEPA",19.2
"329",2006,"Minnesota Timberwolves","THREEPA",11.5
"330",2006,"Houston Rockets","THREEPA",17.2
"331",2006,"Portland Trail Blazers","THREEPA",12.7
"332",2006,"League Average","THREEPA",16
"333",2007,"Phoenix Suns","THREEPA",24
"334",2007,"Golden State Warriors","THREEPA",24
"335",2007,"Denver Nuggets","THREEPA",17.6
"336",2007,"Washington Wizards","THREEPA",19.7
"337",2007,"Los Angeles Lakers","THREEPA",21
"338",2007,"Memphis Grizzlies","THREEPA",16.6
"339",2007,"Utah Jazz","THREEPA",12.9
"340",2007,"Sacramento Kings","THREEPA",18.5
"341",2007,"Dallas Mavericks","THREEPA",17.1
"342",2007,"Milwaukee Bucks","THREEPA",18
